Dates,Google,Meta,JPM
2016-05-24,36.652,117.7,64.54
2016-05-25,36.905,117.89,65.52
2016-05-26,36.847,119.47,65.03
2016-05-27,37.38,119.38,65.43
2016-05-30,37.38,119.38,65.43
2016-05-31,37.443,118.81,65.27
2016-06-01,37.423,118.78,65.69
2016-06-02,37.213,118.93,65.81
2016-06-03,36.793,118.47,64.64
2016-06-06,36.503,118.79,65.28
2016-06-07,36.555,117.76,65.06
2016-06-08,37.146,118.39,65.25
2016-06-09,37.126,118.56,64.75
2016-06-10,36.66,116.62,63.84
2016-06-13,36.594,113.95,63.27
2016-06-14,36.663,114.94,62.08
2016-06-15,36.61,114.6,61.97
2016-06-16,36.213,114.39,62.22
2016-06-17,35.213,113.02,62.28
2016-06-20,35.307,113.37,62.37
2016-06-21,35.444,114.38,62.95
2016-06-22,35.524,113.91,62.71
2016-06-23,35.744,115.08,64.05
2016-06-24,34.26,112.08,59.6
2016-06-27,34.057,108.97,57.61
2016-06-28,34.563,112.7,59.52
2016-06-29,34.76,114.16,61.2
2016-06-30,35.177,114.28,62.14
2016-07-01,35.513,114.19,61.26
2016-07-04,35.513,114.19,61.26
2016-07-05,35.245,114,59.55
2016-07-06,35.449,116.7,60.19
2016-07-07,35.363,115.85,60.58
2016-07-08,35.889,117.24,61.83
2016-07-11,36.36,117.87,62.27
2016-07-12,36.626,117.93,63.2
2016-07-13,36.474,116.78,63.16
2016-07-14,36.79,117.29,64.12
2016-07-15,36.782,116.86,64.18
2016-07-18,37.66,119.37,63.96
2016-07-19,37.671,120.61,63.86
2016-07-20,37.854,121.92,63.93
2016-07-21,37.721,120.61,63.69
2016-07-22,37.964,121,64.04
2016-07-25,37.876,121.63,63.87
2016-07-26,37.883,121.22,64.13
2016-07-27,38.099,123.34,64.33
2016-07-28,38.292,125,64.1
2016-07-29,39.567,123.94,63.97
2016-08-01,40.047,124.31,63.8
2016-08-02,40.006,123.09,63.65
2016-08-03,39.946,122.51,64.66
2016-08-04,39.863,124.36,64.56
2016-08-05,40.347,125.15,66.3
2016-08-08,40.262,125.26,66.1
2016-08-09,40.374,125.06,65.87
2016-08-10,40.425,124.88,65.28
2016-08-11,40.41,124.9,65.46
2016-08-12,40.353,124.88,65.32
2016-08-15,40.298,123.9,65.72
2016-08-16,40.06,123.3,65.71
2016-08-17,40.271,124.37,65.89
2016-08-18,40.138,123.91,65.95
2016-08-19,39.983,123.56,65.86
2016-08-22,39.848,124.15,65.8
2016-08-23,39.83,124.37,65.77
2016-08-24,39.68,123.48,65.95
2016-08-25,39.565,123.89,66.07
2016-08-26,39.661,124.96,66.22
2016-08-29,39.791,126.54,66.95
2016-08-30,39.596,125.84,67.5
2016-08-31,39.493,126.12,67.5
2016-09-01,39.57,126.17,67.21
2016-09-02,39.844,126.51,67.49
2016-09-05,39.844,126.51,67.49
2016-09-06,40.401,129.73,67.44
2016-09-07,40.4,131.05,67.16
2016-09-08,40.142,130.27,67.25
2016-09-09,39.424,127.1,66.65
2016-09-12,39.941,128.69,67.06
2016-09-13,39.436,127.21,66.53
2016-09-14,39.523,127.77,66.4
2016-09-15,40.062,128.35,66.64
2016-09-16,39.899,129.07,65.82
2016-09-19,39.77,128.65,66.19
2016-09-20,39.989,128.64,66.46
2016-09-21,40.252,129.94,66.84
2016-09-22,40.798,130.08,67.39
2016-09-23,40.748,127.96,67.25
2016-09-26,40.133,127.31,65.78
2016-09-27,40.537,128.69,66.36
2016-09-28,40.503,129.23,66.71
2016-09-29,40.132,128.09,65.65
2016-09-30,40.203,128.27,66.59
2016-10-03,40.019,128.77,66.51
2016-10-04,40.14,128.19,66.6
2016-10-05,40.062,128.47,67.69
2016-10-06,40.154,128.74,67.87
2016-10-07,40.036,128.99,68.11
2016-10-10,40.709,130.24,68.64
2016-10-11,40.479,128.88,68.31
2016-10-12,40.588,129.05,68.13
2016-10-13,40.204,127.82,67.74
2016-10-14,40.23,127.88,67.52
2016-10-17,40.342,127.54,67.17
2016-10-18,41.075,128.57,67.7
2016-10-19,41.355,130.11,68.35
2016-10-20,41.082,130,68.26
2016-10-21,41.203,132.07,68.49
2016-10-24,41.787,133.28,68.87
2016-10-25,41.427,132.29,68.8
2016-10-26,41.105,131.04,69.13
2016-10-27,40.868,129.69,69.23
2016-10-28,40.978,131.29,69.11
2016-10-31,40.495,130.99,69.26
2016-11-01,40.274,129.5,68.97
2016-11-02,39.421,127.17,68.68
2016-11-03,39.11,120,68.38
2016-11-04,39.055,120.75,67.76
2016-11-07,40.102,122.15,69.88
2016-11-08,40.599,124.22,70.03
2016-11-09,40.28,123.18,73.25
2016-11-10,39.015,120.8,76.65
2016-11-11,38.588,119.02,76.69
2016-11-14,37.661,115.08,79.51
2016-11-15,38.758,117.2,79.36
2016-11-16,38.999,116.34,77.4
2016-11-17,39.308,117.79,78.02
2016-11-18,38.799,117.02,77.71
2016-11-21,39.24,121.77,78.05
2016-11-22,39.25,121.47,78.53
2016-11-23,38.95,120.84,78.86
2016-11-24,38.95,120.84,78.86
2016-11-25,39.012,120.38,78.83
2016-11-28,39.29,120.41,78.32
2016-11-29,39.472,120.87,78.92
2016-11-30,38.794,118.42,80.17
2016-12-01,38.217,115.1,81.79
2016-12-02,38.223,115.4,81.6
2016-12-05,38.911,117.43,83.26
2016-12-06,38.809,117.31,83.69
2016-12-07,39.574,117.95,84.07
2016-12-08,39.759,118.91,85.12
2016-12-09,40.473,119.68,85.49
2016-12-12,40.395,117.77,84.73
2016-12-13,40.767,120.31,84.76
2016-12-14,40.895,120.21,84.73
2016-12-15,40.783,120.57,86
2016-12-16,40.492,119.87,84.94
2016-12-19,40.625,119.24,85.43
2016-12-20,40.76,119.09,86.53
2016-12-21,40.61,119.04,86.75
2016-12-22,40.484,117.4,86.89
2016-12-23,40.39,117.27,87.05
2016-12-26,40.39,117.27,87.05
